age_range,industry,job_title,annual_salary,currency,country,current_years_experience,education,gender
25-34,Education,Librarian,55000,USD,United States,5-7 years,Master's degree,Woman
25-34,Information Technology,Manager (General),54600,GBP,United Kingdom,5-7 years,College degree,Prefer not to answer
25-34,Finance,Marketing Manager,34000,USD,United States,2 - 4 years,College degree,Woman
25-34,Nonprofit,Project Manager,62000,USD,United States,5-7 years,College degree,Woman
25-34,Finance,Manager (General),60000,USD,United States,5-7 years,College degree,Woman
25-34,Education,Librarian,62000,USD,United States,2 - 4 years,Master's degree,Man
25-34,Media/Entertainment,Other,33000,USD,United States,2 - 4 years,College degree,Woman
25-34,Education,Librarian,50000,USD,United States,5-7 years,Master's degree,Man
45-54,Information Technology,Analyst (General),112000,USD,United States,21 - 30 years,College degree,Woman
35-44,Finance,Accountant,45000,USD,United States,21 - 30 years,College degree,Woman
25-34,Nonprofit,Manager (General),47500,USD,United States,5-7 years,College degree,Woman
35-44,Education,Director,62000,USD,United States,5-7 years,PhD,Woman
35-44,Finance,Manager (General),100000,USD,United States,11 - 20 years,College degree,Man
25-34,Legal,Lawyer/Attorney,52000,USD,United States,2 - 4 years,,Woman
18-24,Health,Coordinator,32000,CAD,Canada,1 year or less,College degree,Woman
35-44,Energy,Other,24000,GBP,United Kingdom,5-7 years,College degree,Man
35-44,Business/Consulting,Executive Assistant,85000,USD,United States,8 - 10 years,Some college,Woman
45-54,Arts/Design,Graphic Designer,59000,USD,United States,21 - 30 years,College degree,Woman
35-44,Business/Consulting,Manager (General),98000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Education,Director,54000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Health,Analyst (General),74000,USD,United States,5-7 years,Master's degree,Woman
35-44,Nonprofit,Coordinator,50000,USD,United States,2 - 4 years,PhD,Woman
35-44,Nonprofit,Other,63000,CAD,Canada,8 - 10 years,Master's degree,Woman
35-44,Government,Other,96000,USD,United States,2 - 4 years,PhD,Woman
25-34,Other,Librarian,44500,USD,United States,2 - 4 years,,Woman
35-44,Education,Other,60000,USD,United States,1 year or less,Master's degree,Woman
25-34,Nonprofit,Director,62000,USD,United States,2 - 4 years,College degree,Man
35-44,Legal,Manager (General),48000,USD,United States,2 - 4 years,College degree,Woman
35-44,Government,Other,140000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),80000,USD,United States,5-7 years,College degree,Woman
25-34,Nonprofit,Coordinator,39000,USD,United States,2 - 4 years,College degree,Woman
35-44,Media/Entertainment,Writer/Editor,125000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Finance,Other,230000,USD,United States,11 - 20 years,College degree,Woman
35-44,Finance,Manager (General),110000,USD,United States,11 - 20 years,College degree,Woman
25-34,Nonprofit,Manager (General),50000,USD,United States,2 - 4 years,College degree,Woman
35-44,Education,Analyst (General),68000,USD,United States,2 - 4 years,Master's degree,Woman
18-24,Media/Entertainment,Other,41000,USD,United States,2 - 4 years,College degree,Woman
25-34,Finance,Other,76000,USD,United States,2 - 4 years,College degree,Woman
35-44,Government,Manager (General),78000,USD,United States,5-7 years,Master's degree,Woman
25-34,Finance,Receptionist,37000,USD,United States,2 - 4 years,College degree,Woman
45-54,Engineering/Manufacturing,Team Lead,100000,USD,United States,21 - 30 years,College degree,Woman
35-44,Marketing,Content/Copywriter,35000,GBP,United Kingdom,11 - 20 years,College degree,Woman
25-34,Government,Manager (General),65000,USD,United States,5-7 years,College degree,Man
25-34,Information Technology,Software Engineer,187500,USD,United States,5-7 years,College degree,Woman
25-34,Information Technology,Analyst (General),110000,USD,United States,8 - 10 years,Master's degree,Man
25-34,Nonprofit,Project Manager,66625,USD,United States,8 - 10 years,College degree,Woman
35-44,Information Technology,Other,144600,USD,United States,5-7 years,PhD,Woman
35-44,Information Technology,Director,200850,USD,United States,11 - 20 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),120000,CAD,Canada,8 - 10 years,College degree,Woman
25-34,Retail/Sales,Manager (General),97500,CAD,Canada,8 - 10 years,College degree,Woman
35-44,Education,Engineer (Non-software),96000,USD,United States,5-7 years,PhD,Woman
25-34,Education,Teacher (K-12),53000,USD,United States,1 year or less,Master's degree,Woman
25-34,Marketing,Manager (General),95000,USD,United States,8 - 10 years,College degree,Woman
35-44,Information Technology,Coordinator,72000,USD,United States,5-7 years,Master's degree,Woman
35-44,Media/Entertainment,Writer/Editor,52000,CAD,Canada,11 - 20 years,College degree,Woman
35-44,Engineering/Manufacturing,Engineer (Non-software),106000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Government,Other,115000,USD,United States,5-7 years,PhD,Woman
25-34,Business/Consulting,Supervisor,100500,USD,United States,5-7 years,College degree,Woman
25-34,Legal,Other,33200,USD,United States,2 - 4 years,Some college,Woman
35-44,Government,Team Lead,52000,GBP,United Kingdom,11 - 20 years,Master's degree,Woman
25-34,Education,Coordinator,52000,USD,United States,8 - 10 years,College degree,Woman
25-34,Government,Other,79000,CAD,Canada,5-7 years,Master's degree,Woman
65 or over,Engineering/Manufacturing,Director,104000,USD,United States,21 - 30 years,College degree,Man
25-34,Education,Other,75000,CAD,Canada,2 - 4 years,College degree,Woman
18-24,Biotech,Other,52000,USD,United States,2 - 4 years,College degree,Woman
25-34,Education,Other,70000,USD,United States,2 - 4 years,Master's degree,Prefer not to answer
25-34,Nonprofit,Manager (General),84000,USD,United States,5-7 years,Master's degree,Woman
35-44,Health,Manager (General),53000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Information Technology,Other,34000,USD,United States,5-7 years,College degree,Woman
25-34,Nonprofit,Coordinator,38000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Government,Other,87000,USD,United States,2 - 4 years,Master's degree,Man
35-44,Other,Engineer (Non-software),122000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Finance,Analyst (General),45000,GBP,United Kingdom,2 - 4 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Coordinator,45000,USD,United States,5-7 years,Some college,Woman
35-44,Information Technology,Writer/Editor,88000,USD,United States,8 - 10 years,College degree,Woman
35-44,Nonprofit,Supervisor,71000,USD,United States,8 - 10 years,Master's degree,Woman
45-54,Education,Project Manager,71000,USD,United States,11 - 20 years,PhD,Woman
35-44,Education,Teacher (K-12),75000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Education,Manager (General),80000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Information Technology,Analyst (General),125000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Education,Other,65000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Education,Teacher (K-12),36000,GBP,United Kingdom,21 - 30 years,College degree,Woman
25-34,Nonprofit,Graphic Designer,55000,USD,United States,2 - 4 years,College degree,Woman
25-34,Arts/Design,UX/UI Designer,90000,USD,United States,8 - 10 years,College degree,Woman
35-44,Engineering/Manufacturing,Engineer (Non-software),105000,USD,United States,5-7 years,College degree,Woman
35-44,Nonprofit,Other,60000,CAD,Canada,11 - 20 years,High School,Man
35-44,Education,Other,65000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Business/Consulting,Project Manager,85000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Other,Other,39520,USD,United States,2 - 4 years,Some college,Woman
45-54,Information Technology,Director,115000,CAD,Canada,21 - 30 years,Master's degree,Man
25-34,Energy,Analyst (General),76000,USD,United States,5-7 years,College degree,Woman
55-64,Business/Consulting,Executive (C-Suite),180000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Finance,Manager (General),90000,USD,United States,5-7 years,Master's degree,Woman
25-34,Government,Other,19300,GBP,United Kingdom,5-7 years,Some college,Man
55-64,Business/Consulting,Administrative Assistant,65000,USD,United States,11 - 20 years,Master's degree,Woman
